days,total_ireland_cases,total_italy_cases,total_spain_cases,total_iran_cases,total_india_cases
1,1,2,1,2,1
2,1,2,1,5,1
3,1,2,1,18,1
4,2,2,1,28,2
5,6,2,1,43,3
6,6,2,1,61,3
7,18,2,1,95,3
8,18,3,1,139,3
9,21,3,2,245,3
10,19,3,2,388,3
11,21,3,2,593,3
12,34,3,2,978,3
13,43,3,2,1501,3
14,43,3,2,2336,3
15,90,3,2,2922,3
16,129,3,2,3513,3
17,129,3,2,4747,3
18,169,3,2,5823,3
19,223,3,2,6566,3
20,292,3,2,7161,3
21,557,3,2,8042,3
22,683,20,2,9000,3
23,785,62,2,10075,3
24,906,155,2,11364,3
25,1125,229,6,12729,3
26,1329,322,13,13938,3
27,1564,453,15,14991,3
28,1819,655,32,16169,3
29,2121,888,45,17361,3
30,2415,1128,84,18407,3
31,2615,1694,120,19644,3
32,2910,2036,165,20610,3
33,3235,2502,222,21638,5
34,3447,3089,259,23049,5
35,3849,3858,400,24811,28
36,4273,4636,500,27017,30
37,4604,5883,673,29406,31
38,4994,7375,1073,32332,34
39,5364,9172,1695,35408,39
40,5709,10149,2277,38309,43
41,6074,12462,2950,41495,56
42,6574,15113,5232,44605,62
43,8089,17660,6391,47593,73
44,8928,21157,7798,50468,82
45,9655,24747,9942,53183,102
46,10647,27980,11748,55743,113
47,11479,31506,13910,58226,119
48,12547,35713,17963,60500,142
49,13271,41035,20410,62589,156
50,13980,47021,25374,64586,194
51,14758,53578,28603,66220,244
52,15251,59138,35136,68192,330
53,15652,63927,39885,70029,396
54,16040,69176,49515,71686,499
55,16671,74386,57786,73303,536
56,17607,80589,65719,74877,657
57,18184,86498,73235,76389,727
58,18561,92472,80110,77995,887
59,19262,97689,87956,79494,987
60,19648,101739,95923,80868,1024
