CountyName,TimeStamp,ConfirmedCovidCases
Carlow,2020-02-27,0
Cavan,2020-02-27,0
Clare,2020-02-27,0
Cork,2020-02-27,0
Donegal,2020-02-27,0
Dublin,2020-02-27,0
Galway,2020-02-27,0
Kerry,2020-02-27,0
Kildare,2020-02-27,0
Kilkenny,2020-02-27,0
Laois,2020-02-27,0
Leitrim,2020-02-27,0
Limerick,2020-02-27,0
Longford,2020-02-27,0
Louth,2020-02-27,0
Mayo,2020-02-27,0
Meath,2020-02-27,0
Monaghan,2020-02-27,0
Offaly,2020-02-27,0
Roscommon,2020-02-27,0
Sligo,2020-02-27,0
Tipperary,2020-02-27,0
Waterford,2020-02-27,0
Westmeath,2020-02-27,0
Wexford,2020-02-27,0
Wicklow,2020-02-27,0
Carlow,2020-03-01,0
Cavan,2020-03-01,0
Clare,2020-03-01,0
Cork,2020-03-01,0
Donegal,2020-03-01,0
Dublin,2020-03-01,0
Galway,2020-03-01,0
Kerry,2020-03-01,0
Kildare,2020-03-01,0
Kilkenny,2020-03-01,0
Laois,2020-03-01,0
Leitrim,2020-03-01,0
Limerick,2020-03-01,0
Longford,2020-03-01,0
Louth,2020-03-01,0
Mayo,2020-03-01,0
Meath,2020-03-01,0
Monaghan,2020-03-01,0
Offaly,2020-03-01,0
Roscommon,2020-03-01,0
Sligo,2020-03-01,0
Tipperary,2020-03-01,0
Waterford,2020-03-01,0
Westmeath,2020-03-01,0
Wexford,2020-03-01,0
Wicklow,2020-03-01,0
Carlow,2020-03-02,0
Cavan,2020-03-02,0
Clare,2020-03-02,0
Cork,2020-03-02,0
Donegal,2020-03-02,0
Dublin,2020-03-02,0
Galway,2020-03-02,0
Kerry,2020-03-02,0
Kildare,2020-03-02,0
Kilkenny,2020-03-02,0
Laois,2020-03-02,0
Leitrim,2020-03-02,0
Limerick,2020-03-02,0
Longford,2020-03-02,0
Louth,2020-03-02,0
Mayo,2020-03-02,0
Meath,2020-03-02,0
Monaghan,2020-03-02,0
Offaly,2020-03-02,0
Roscommon,2020-03-02,0
Sligo,2020-03-02,0
Tipperary,2020-03-02,0
Waterford,2020-03-02,0
Westmeath,2020-03-02,0
Wexford,2020-03-02,0
Wicklow,2020-03-02,0
Carlow,2020-03-03,0
Cavan,2020-03-03,0
Clare,2020-03-03,0
Cork,2020-03-03,0
Donegal,2020-03-03,0
Dublin,2020-03-03,0
Galway,2020-03-03,0
Kerry,2020-03-03,0
Kildare,2020-03-03,0
Kilkenny,2020-03-03,0
Laois,2020-03-03,0
Leitrim,2020-03-03,0
Limerick,2020-03-03,0
Longford,2020-03-03,0
Louth,2020-03-03,0
Mayo,2020-03-03,0
